ISIN,TRADE_CODE,dt,value,currency
RU0006944147,TATNP,2022-07-08,16.14,RUB
RU0006944147,TATNP,2022-10-11,32.71,RUB
RU0006944147,TATNP,2023-01-10,6.86,RUB
RU0006944147,TATNP,2023-07-04,27.71,RUB
RU0006944147,TATNP,2023-07-11,27.71,RUB
RU0006944147,TATNP,2023-10-11,27.54,RUB
RU0006944147,TATNP,2024-01-09,35.17,RUB
RU0006944147,TATNP,2024-07-04,25.17,RUB
RU0006944147,TATNP,2024-07-09,25.17,RUB
RU0006944147,TATNP,2014-07-16,8.23,RUB
RU0006944147,TATNP,2015-07-15,10.58,RUB
RU0006944147,TATNP,2016-06-24,10.96,RUB
RU0006944147,TATNP,2016-07-08,10.96,RUB
RU0006944147,TATNP,2017-07-07,22.81,RUB
RU0006944147,TATNP,2017-12-23,27.78,RUB
US6708662019,OKEY,2018-01-25,0.12,USD
RU0009028674,AKRN,2014-06-09,152.0,RUB
RU0009028674,AKRN,2015-06-02,139.0,RUB
RU0009028674,AKRN,2016-06-14,180.0,RUB
RU0009028674,AKRN,2016-09-20,155.0,RUB
RU0009028674,AKRN,2017-07-11,95.0,RUB
RU0009028674,AKRN,2017-09-26,235.0,RUB
RU0009028674,AKRN,2018-01-23,112.0,RUB
RU0009028674,AKRN,2018-06-14,185.0,RUB
RU000A0JNG55,OGKB,2015-06-25,0.01,RUB
RU000A0JNG55,OGKB,2016-06-20,0.01,RUB
RU000A0JNG55,OGKB,2017-06-02,0.01,RUB
RU000A0JNG55,OGKB,2017-06-20,0.01,RUB
RU000A0JNG55,OGKB,2018-07-10,0.02,RUB
RU0008959580,KMAZ,2018-07-18,1.06,RUB
RU000A0JPPN4,MRKV,2017-06-26,0.01,RUB
RU000A0ET7Y7,MSRS,2014-07-11,0.06,RUB
RU000A0ET7Y7,MSRS,2015-07-06,0.04,RUB
RU000A0ET7Y7,MSRS,2016-06-26,0.13,RUB
RU000A0ET7Y7,MSRS,2017-06-21,0.03,RUB
RU000A0ET7Y7,MSRS,2018-06-18,0.03,RUB
RU0006914488,SVAV,2014-06-11,52.52,RUB
RU0008926258,SNGS,2014-07-16,0.6,RUB
RU0008926258,SNGS,2015-07-16,0.65,RUB
RU0008926258,SNGS,2016-07-18,0.6,RUB
RU0008926258,SNGS,2017-07-19,0.6,RUB
RU0008926258,SNGS,2018-07-19,0.65,RUB
RU0008926258,SNGS,2019-07-18,0.65,RUB
RU0008926258,SNGS,2020-07-20,0.65,RUB
RU0008926258,SNGS,2021-07-20,0.7,RUB
RU0008926258,SNGS,2022-07-20,0.8,RUB
RU0008926258,SNGS,2023-07-20,0.8,RUB
RU0008926258,SNGS,2024-07-18,0.85,RUB
RU0009029524,SNGSP,2014-07-16,2.36,RUB
RU0009029524,SNGSP,2015-07-16,8.21,RUB
RU0009029524,SNGSP,2016-07-18,6.92,RUB
RU0009029524,SNGSP,2017-07-19,0.6,RUB
RU0009029524,SNGSP,2018-07-19,1.38,RUB
RU0009029524,SNGSP,2019-07-18,7.62,RUB
RU0009029524,SNGSP,2020-07-20,0.97,RUB
RU0009029524,SNGSP,2021-07-20,6.72,RUB
RU0009029524,SNGSP,2022-07-20,4.73,RUB
RU0009029524,SNGSP,2023-07-20,0.8,RUB
RU0009029524,SNGSP,2024-07-18,12.29,RUB
RU000A0B6NK6,TRMK,2013-10-04,1.04,RUB
RU000A0B6NK6,TRMK,2014-07-07,0.78,RUB
RU000A0B6NK6,TRMK,2015-01-12,0.4,RUB
RU000A0B6NK6,TRMK,2015-10-23,2.42,RUB
RU000A0B6NK6,TRMK,2016-10-10,1.94,RUB
RU000A0B6NK6,TRMK,2017-06-20,1.96,RUB
RU000A0B6NK6,TRMK,2018-07-02,2.28,RUB
RU000A0B6NK6,TRMK,2019-07-18,2.55,RUB
RU000A0B6NK6,TRMK,2020-12-07,3.0,RUB
RU000A0B6NK6,TRMK,2021-04-26,9.67,RUB
RU000A0B6NK6,TRMK,2021-09-17,17.71,RUB
RU000A0B6NK6,TRMK,2022-05-27,0.82,RUB
RU000A0B6NK6,TRMK,2022-09-09,9.68,RUB
RU000A0B6NK6,TRMK,2023-01-31,6.78,RUB
RU000A0B6NK6,TRMK,2023-09-05,13.45,RUB
RU000A0B6NK6,TRMK,2024-06-04,9.51,RUB
RU0009100291,VSMO,2014-06-17,533.91,RUB
RU0009100291,VSMO,2015-05-28,831.07,RUB
RU0009100291,VSMO,2015-10-09,788.0,RUB
RU0009100291,VSMO,2016-05-27,458.22,RUB
RU0009100291,VSMO,2016-10-03,816.0,RUB
RU0009100291,VSMO,2017-06-05,1300.0,RUB
RU0009100291,VSMO,2017-10-19,410.18,RUB
RU0009100291,VSMO,2018-06-06,890.45,RUB
US74735M1080,QIWI,2016-03-29,0.5,USD
US74735M1080,QIWI,2016-05-26,0.22,USD
US74735M1080,QIWI,2016-08-29,0.22,USD
US74735M1080,QIWI,2016-12-05,0.22,USD
US74735M1080,QIWI,2017-04-03,0.16,USD
US74735M1080,QIWI,2017-05-30,0.2,USD
US74735M1080,QIWI,2017-08-29,0.21,USD
JE00B6T5S470,POLY,2015-09-04,0.08,USD
JE00B6T5S470,POLY,2015-12-11,0.3,USD
JE00B6T5S470,POLY,2016-05-06,0.13,USD
JE00B6T5S470,POLY,2016-09-02,0.09,USD
JE00B6T5S470,POLY,2016-12-16,0.15,USD
JE00B6T5S470,POLY,2017-05-05,0.18,USD
JE00B6T5S470,POLY,2017-09-08,0.14,USD
JE00B6T5S470,POLY,2018-05-11,0.3,USD
RU0007976957,BANE,2013-11-05,199.0,RUB
RU0007976957,BANE,2014-06-23,211.0,RUB
RU0007976957,BANE,2015-07-17,113.0,RUB
RU0007976957,BANE,2016-07-15,164.0,RUB
RU0007976957,BANE,2017-12-12,148.31,RUB
RU0007976957,BANE,2018-07-09,158.95,RUB
RU0007976965,BANEP,2013-11-05,199.0,RUB
RU0007976965,BANEP,2014-06-23,211.0,RUB
RU0007976965,BANEP,2015-07-17,113.0,RUB
RU0007976965,BANEP,2016-07-15,164.0,RUB
RU0007976965,BANEP,2017-07-12,0.1,RUB
RU0007976965,BANEP,2017-12-12,148.31,RUB
RU0007976965,BANEP,2018-07-09,158.95,RUB
RU0007984761,VLHZ,2013-08-08,9.5,RUB
RU000A0JQG78,GAZS,2013-10-21,4.81,RUB
RU000A0JQG86,GAZC,2013-10-21,4.81,RUB
RU0009062467,SIBN,2013-08-25,4.09,RUB
RU0009062467,SIBN,2014-06-23,5.29,RUB
RU0009062467,SIBN,2014-10-17,4.62,RUB
RU0009062467,SIBN,2015-06-22,1.85,RUB
RU0009062467,SIBN,2015-10-16,5.92,RUB
RU0009062467,SIBN,2016-06-27,0.55,RUB
RU0009062467,SIBN,2017-06-26,10.68,RUB
RU0009062467,SIBN,2017-12-29,10.0,RUB
RU0009062467,SIBN,2018-06-26,5.0,RUB
RU000A0JL4R1,GCHE,2018-04-03,75.07,RUB
RU000A0JSQ90,DSKY,2017-07-17,3.48,RUB
RU000A0JSQ90,DSKY,2017-12-04,2.97,RUB
RU000A0JSQ90,DSKY,2017-12-15,2.97,RUB
RU000A0JSQ90,DSKY,2018-05-29,3.88,RUB
RU000A0JSQ90,DSKY,2018-12-26,4.39,RUB
RU000A0JSQ90,DSKY,2019-05-27,4.45,RUB
RU000A0JSQ90,DSKY,2019-12-17,5.06,RUB
RU000A0JSQ90,DSKY,2020-07-11,3.0,RUB
RU000A0JSQ90,DSKY,2020-09-29,2.5,RUB
RU000A0JSQ90,DSKY,2020-12-28,5.08,RUB
RU000A0JSQ90,DSKY,2021-07-11,6.07,RUB
RU000A0JSQ90,DSKY,2021-12-26,5.2,RUB
RU000A0B9BV2,KAZT,2013-08-02,1.0,RUB
RU000A0B9BV2,KAZT,2013-11-05,1.0,RUB
RU000A0B9BW0,KAZTP,2013-08-02,1.0,RUB
RU000A0B9BW0,KAZTP,2013-11-05,1.0,RUB
RU0009177331,MSTT,2014-07-16,7.09,RUB
RU0009177331,MSTT,2015-05-25,7.09,RUB
RU0009177331,MSTT,2016-07-11,10.64,RUB
RU0009177331,MSTT,2017-07-18,10.64,RUB
RU0009177331,MSTT,2017-12-19,8.45,RUB
RU0009177331,MSTT,2018-07-03,2.19,RUB
RU000A0JKQU8,MGNT,2013-08-09,46.06,RUB
RU000A0JKQU8,MGNT,2014-06-13,89.15,RUB
RU000A0JKQU8,MGNT,2014-10-10,78.3,RUB
RU000A0JKQU8,MGNT,2014-10-29,152.07,RUB
RU000A0JKQU8,MGNT,2014-12-30,152.07,RUB
RU000A0JKQU8,MGNT,2015-06-19,132.57,RUB
RU000A0JKQU8,MGNT,2015-10-09,88.4,RUB
RU000A0JKQU8,MGNT,2016-01-08,179.77,RUB
RU000A0JKQU8,MGNT,2016-06-17,42.3,RUB
RU000A0JKQU8,MGNT,2016-09-23,84.6,RUB
RU000A0JKQU8,MGNT,2016-12-23,126.12,RUB
RU000A0JKQU8,MGNT,2017-06-23,67.41,RUB
RU000A0JKQU8,MGNT,2017-09-15,115.51,RUB
RU000A0JKQU8,MGNT,2018-07-06,135.5,RUB
RU000A0JKQU8,MGNT,2018-12-21,137.38,RUB
RU000A0JKQU8,MGNT,2019-06-14,166.78,RUB
RU000A0JKQU8,MGNT,2020-01-10,147.19,RUB
RU000A0JKQU8,MGNT,2020-06-19,157.0,RUB
RU000A0JKQU8,MGNT,2021-01-08,245.31,RUB
RU000A0JKQU8,MGNT,2021-06-25,245.31,RUB
RU000A0JKQU8,MGNT,2021-12-31,294.37,RUB
RU000A0JKQU8,MGNT,2024-01-11,412.13,RUB
RU000A0JKQU8,MGNT,2024-07-15,412.13,RUB
RU0009084446,NMTP,2014-07-09,0.02,RUB
RU0009084446,NMTP,2015-07-13,0.23,RUB
RU0009084446,NMTP,2016-07-05,0.05,RUB
RU0009084446,NMTP,2016-09-14,0.47,RUB
RU0009084446,NMTP,2017-05-29,0.78,RUB
RU0006752979,IRKT,2018-07-17,1.14,RUB
RU000A0DPNQ5,PRMB,2013-10-09,880.0,RUB
